"ecolilevel","sdnoboiling","sdlabboiling","sdgoodboiling","sdineffectiveboiling","sdmoderateboiling","sdworseboiling","sdbadzeroboiling","sdnegativeboiling"
989.814911573427,66.4,8.6,25.02,30.25,26.95,50.08,64.66,73.78
937.960868838709,80.92,8.73,34.66,49.93,40.42,76.54,80.79,81.13
933.187891417649,36.19,8.73,17.36,22.47,19.99,30.13,35.25,41.57
249.119388887892,66.4,8.6,25.02,30.25,26.95,50.08,64.66,73.78
836.489125377731,80.92,8.73,34.66,49.93,40.42,76.54,80.79,81.13
893.365068074781,36.19,8.73,17.36,22.47,19.99,30.13,35.25,41.57
744.509596871678,66.4,8.6,25.02,30.25,26.95,50.08,64.66,73.78
218.081002562307,80.92,8.73,34.66,49.93,40.42,76.54,80.79,81.13
505.675586714176,36.19,8.73,17.36,22.47,19.99,30.13,35.25,41.57
996.726871596649,66.4,8.6,25.02,30.25,26.95,50.08,64.66,73.78
988.840882345103,80.92,8.73,34.66,49.93,40.42,76.54,80.79,81.13
619.298605390126,36.19,8.73,17.36,22.47,19.99,30.13,35.25,41.57
614.096404005773,66.4,8.6,25.02,30.25,26.95,50.08,64.66,73.78
897.229980554665,80.92,8.73,34.66,49.93,40.42,76.54,80.79,81.13
626.500046036206,36.19,8.73,17.36,22.47,19.99,30.13,35.25,41.57
652.951399697689,66.4,8.6,25.02,30.25,26.95,50.08,64.66,73.78
855.663747878047,80.92,8.73,34.66,49.93,40.42,76.54,80.79,81.13
401.217885265825,36.19,8.73,17.36,22.47,19.99,30.13,35.25,41.57
833.139651931589,66.4,8.6,25.02,30.25,26.95,50.08,64.66,73.78
569.268731061369,80.92,8.73,34.66,49.93,40.42,76.54,80.79,81.13
650.549337341916,36.19,8.73,17.36,22.47,19.99,30.13,35.25,41.57
