"","xaxis","exposureresultsdelta","backgroundresultsdelta","ecolilevelresultsdelta","ecolilevelresultsdelta.1","logreductionresultsdelta","drinkingwaterresultsdelta","airexchangeresultsdelta","volumeresultsdelta","heatvalueresultsdelta","emissionfactorresultsdelta","stovepowerresultsdelta","efficiencyresultsdelta","energyresultsdelta","ageresultsdelta","cryptokvalueresultsdelta","cryptoratiovalueresultsdelta","rotaalphavalueresultsdelta","rotaNfiftyvalueresultsdelta","rotaratiovalueresultsdelta","campalphavalueresultsdelta","campNfiftyvalueresultsdelta","campratiovalueresultsdelta"
"1",2,-0.0111174113898898,2.86036115624963,1.34291759482669,1.34291759482669,2.04101203609459,-4.00167650596151,-4.30319339463237,-5.8826366776369,1.19453821596335,-2.79011478938038,-3.54172490540113,3.15160469614307,2.27643661760214,-2.66712816620938,0.258168154867616,0.0294771945368266,0.133327556360911,-2.15133716730578,0.0874738016112575,1.06887404824215,-8.48327516045062,1.19941764694869
"2",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",4,-2.54857551425469,-3.85422289430647,-104.79382663425,-104.79382663425,-0.0998669451093441,8.63364015487151,-3.19269658046736,-4.18588465185413,-3.16331904706215,1.75509001125241,1.48508094267662,-1.81047361651657,-5.53082203368888,2.64754572138714,-13.5872663020104,-25.0345630689866,0.0575074865954921,0.100842999476075,-9.13931636757118,1.16498979154076,1.2056076588358,0.979705190597359
