"","xaxis","exposureresultsdelta","backgroundresultsdelta","ecolilevelresultsdelta","ecolilevelresultsdelta.1","logreductionresultsdelta","drinkingwaterresultsdelta","airexchangeresultsdelta","volumeresultsdelta","heatvalueresultsdelta","emissionfactorresultsdelta","stovepowerresultsdelta","efficiencyresultsdelta","energyresultsdelta","ageresultsdelta","cryptokvalueresultsdelta","cryptoratiovalueresultsdelta","rotaalphavalueresultsdelta","rotaNfiftyvalueresultsdelta","rotaratiovalueresultsdelta","campalphavalueresultsdelta","campNfiftyvalueresultsdelta","campratiovalueresultsdelta"
"1",2,-0.0445699896651206,2.78222639958349,1.48349187363788,1.48349187363788,2.08341842185443,-3.93557027017721,-4.23348807831218,-6.0444330192031,1.36025160676999,-2.61229313282124,-3.5013584741473,3.43869459867223,2.33560133447294,-2.65679536019782,0.0871344501142266,0.115170538695128,0.192352529278465,-1.86764725249466,0.165751021485901,1.15277277303451,-7.19046131566474,1.34522004241961
"2",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",4,-2.42511899294369,-3.97410196003401,-54.4910712830282,-54.4910712830282,0.0984624500587445,8.63632048243621,-3.19345976900072,-4.20190759025133,-3.18519134220582,2.01958143442895,1.33920305215592,-1.49341671401682,-5.45105212239047,2.68103073866038,-33.7290938543716,-17.3685927025802,0.285414200748257,0.0920411540458446,-11.3734597117134,1.08823062304687,1.23299347040405,1.30220896354255
