"","xaxis","cryptokvaluewaterdelta","cryptoratiovaluewaterdelta","rotaalphavaluewaterdelta","rotaNfiftyvaluewaterdelta","rotaratiovaluewaterdelta","campalphavaluewaterdelta","campNfiftyvaluewaterdelta","campratiovaluewaterdelta"
"1",2,0.0684707417065744,0.0684738966305174,0.0968991019585703,-2.15353619505401,0.0965203405855397,1.14520796761693,-8.58961200721582,1.14520792237044
"2",3,0,0,0,0,0,0,0,0
"3",4,-13.8168127866289,-24.9780758697123,0.0756130152682126,0.0903142803926014,-9.24027179657909,1.08993001424198,1.12932887605547,0.883229580069115
