"","xaxis","backgroundairdelta","drinkingwaterairdelta","airexchangeairdelta","volumeairdelta","heatvalueairdelta","emissionfactorairdelta","stovepowerairdelta","efficiencyairdelta","energyairdelta"
"1",2,2.78222639958349,-4.92295775100312,-4.23348807831218,-6.0444330192031,1.36025160676999,-2.61229313282124,-3.5013584741473,3.43869459867223,2.33560133447294
"2",3,0,0,0,0,0,0,0,0,0
"3",4,-3.97410196003401,10.3330232535078,-3.19345976900072,-4.20190759025133,-3.18519134220582,2.01958143442895,1.33920305215592,-1.49341671401682,-5.45105212239047
