"","xaxis","backgroundairdelta","drinkingwaterairdelta","airexchangeairdelta","volumeairdelta","heatvalueairdelta","emissionfactorairdelta","stovepowerairdelta","efficiencyairdelta","energyairdelta"
"1",2,2.86036115624963,-4.957171616431,-4.30319339463237,-5.8826366776369,1.19453821596335,-2.79011478938038,-3.54172490540113,3.15160469614307,2.27643661760214
"2",3,0,0,0,0,0,0,0,0,0
"3",4,-3.85422289430647,10.2854960743607,-3.19269658046736,-4.18588465185413,-3.16331904706215,1.75509001125241,1.48508094267662,-1.81047361651657,-5.53082203368888
