"ecolilevel","sdnoboiling","sdlabboiling","sdgoodboiling","sdineffectiveboiling","sdmoderateboiling","sdworseboiling","sdbadzeroboiling","sdnegativeboiling"
524.478715096135,148.95,19.6,91.59,98.15,93.17,128.26,146.81,157.33
932.811695880722,185.61,26.75,114.78,131.38,121.24,175.12,184.74,187.81
305.080601015594,110.47,19.37,83.95,89.84,86.29,100.37,108.79,119.5
442.297514527105,148.95,19.6,91.59,98.15,93.17,128.26,146.81,157.33
366.031983082881,185.61,26.75,114.78,131.38,121.24,175.12,184.74,187.81
419.319230903173,110.47,19.37,83.95,89.84,86.29,100.37,108.79,119.5
576.989051038399,148.95,19.6,91.59,98.15,93.17,128.26,146.81,157.33
277.35782540543,185.61,26.75,114.78,131.38,121.24,175.12,184.74,187.81
455.554293541005,110.47,19.37,83.95,89.84,86.29,100.37,108.79,119.5
905.470933710923,148.95,19.6,91.59,98.15,93.17,128.26,146.81,157.33
386.596635106253,185.61,26.75,114.78,131.38,121.24,175.12,184.74,187.81
703.15213786508,110.47,19.37,83.95,89.84,86.29,100.37,108.79,119.5
733.745510778623,148.95,19.6,91.59,98.15,93.17,128.26,146.81,157.33
970.929953683633,185.61,26.75,114.78,131.38,121.24,175.12,184.74,187.81
812.343615012476,110.47,19.37,83.95,89.84,86.29,100.37,108.79,119.5
210.216495492728,148.95,19.6,91.59,98.15,93.17,128.26,146.81,157.33
758.41610247083,185.61,26.75,114.78,131.38,121.24,175.12,184.74,187.81
824.531218057964,110.47,19.37,83.95,89.84,86.29,100.37,108.79,119.5
652.146403222578,148.95,19.6,91.59,98.15,93.17,128.26,146.81,157.33
671.640039400896,185.61,26.75,114.78,131.38,121.24,175.12,184.74,187.81
925.895448254189,110.47,19.37,83.95,89.84,86.29,100.37,108.79,119.5
