location_id,location_name,sex_id,sex_name,age_group_id,age_group_name,year_id,measure_id,measure_name,metric_id,metric_name,val,upper,lower
20,Viet Nam,3,both,118,70,2019,44,Population,1,Number,367630.4109,415825.2045,316870.5201
20,Viet Nam,3,both,119,71,2019,44,Population,1,Number,338338.2528,382692.9682,291622.8226
20,Viet Nam,3,both,120,72,2019,44,Population,1,Number,312473.1298,353437.0368,269328.9788
20,Viet Nam,3,both,121,73,2019,44,Population,1,Number,289979.2324,327994.2845,249940.8847
20,Viet Nam,3,both,122,74,2019,44,Population,1,Number,269117.7372,304397.9355,231959.8021
20,Viet Nam,3,both,123,75,2019,44,Population,1,Number,252858.9168,286007.6524,217945.8883
20,Viet Nam,3,both,124,76,2019,44,Population,1,Number,237748.218,268916.0048,204921.5713
20,Viet Nam,3,both,125,77,2019,44,Population,1,Number,224118.5123,253499.5023,193173.7621
20,Viet Nam,3,both,126,78,2019,44,Population,1,Number,211797.0178,239562.7119,182553.5352
20,Viet Nam,3,both,127,79,2019,44,Population,1,Number,199831.6613,226028.7477,172240.2732
20,Viet Nam,3,both,128,80,2019,44,Population,1,Number,187555.0507,212142.7254,161658.733
20,Viet Nam,3,both,129,81,2019,44,Population,1,Number,174785.8519,197699.5385,150652.6178
20,Viet Nam,3,both,130,82,2019,44,Population,1,Number,161067.4298,182182.6893,138828.3415
20,Viet Nam,3,both,131,83,2019,44,Population,1,Number,146492.1285,165696.6275,126265.498
20,Viet Nam,3,both,132,84,2019,44,Population,1,Number,131586.8491,148837.3291,113418.2377
20,Viet Nam,3,both,133,85,2019,44,Population,1,Number,119012.3819,134614.4024,102579.9668
20,Viet Nam,3,both,134,86,2019,44,Population,1,Number,103285.3858,116825.6635,89024.44667
20,Viet Nam,3,both,135,87,2019,44,Population,1,Number,87134.84457,98557.85452,75103.86163
20,Viet Nam,3,both,136,88,2019,44,Population,1,Number,71467.22489,80836.2761,61599.51964
20,Viet Nam,3,both,137,89,2019,44,Population,1,Number,57058.35252,64538.46145,49180.12574
20,Viet Nam,3,both,138,90,2019,44,Population,1,Number,44587.51164,50432.74602,38431.17321
20,Viet Nam,3,both,139,91,2019,44,Population,1,Number,34732.43081,39285.70573,29936.81449
20,Viet Nam,3,both,140,92,2019,44,Population,1,Number,26830.39729,30347.749,23125.83967
20,Viet Nam,3,both,141,93,2019,44,Population,1,Number,20493.14641,23179.71131,17663.59302
20,Viet Nam,3,both,142,94,2019,44,Population,1,Number,15437.97108,17461.82386,13306.4017
20,Viet Nam,3,both,235,95,2019,44,Population,1,Number,37402.4966,42305.80587,32238.21588
