sim,funct,cause,age,alpha,beta,delta,zcf,aic,bic
512,power2,STROKE,AllAge,1.176525198,0.001385546,1.870063274,5.879798151,-4244.115255,-4237.893863
513,power2,STROKE,AllAge,1.210666376,0.010952868,1.169561572,6.548523978,-4184.178574,-4177.957182
514,power2,STROKE,AllAge,2.115868067,0.046214552,0.320873169,6.285347116,-4168.220313,-4161.998921
515,power2,STROKE,AllAge,1.221509261,0.003299759,1.702940969,6.691733035,-4252.760202,-4246.53881
516,power2,STROKE,AllAge,0.85730975,0.000783713,2.696354242,7.061357663,-4207.026554,-4200.805162
517,power2,STROKE,AllAge,1.493921114,0.021765333,0.49652221,7.937880242,-4192.306775,-4186.085383
518,power2,STROKE,AllAge,1.159506599,0.005280611,1.474298403,8.283034615,-4214.22221,-4208.000817
519,power2,STROKE,AllAge,1.370606068,0.001964051,1.699564109,5.860693146,-4199.539566,-4193.318173
520,power2,STROKE,AllAge,1.048172796,0.041473528,0.644536776,7.450696019,-4212.944211,-4206.722819
521,power2,STROKE,AllAge,0.808883527,0.00128927,2.459253957,7.378622502,-4203.064783,-4196.843391
522,power2,STROKE,AllAge,1.171814223,0.00326361,1.76381495,6.12933828,-4200.600314,-4194.378921
523,power2,STROKE,AllAge,1.473292396,0.001536205,1.864565774,6.61967269,-4205.777549,-4199.556157
524,power2,STROKE,AllAge,1.226910814,0.003875683,1.694636156,8.350182649,-4230.601413,-4224.380021
525,power2,STROKE,AllAge,1.112488507,0.005951865,1.330679714,7.680158026,-4241.207699,-4234.986307
526,power2,STROKE,AllAge,1.794656401,0.032689994,0.394262653,8.701154106,-4201.571651,-4195.350258
527,power2,STROKE,AllAge,1.214165985,0.007906436,1.289788782,8.677144306,-4219.712375,-4213.490983
528,power2,STROKE,AllAge,1.594165798,0.00837384,0.54319172,8.772435161,-4250.497639,-4244.276247
529,power2,STROKE,AllAge,1.202307213,0.01568553,0.976563763,8.105635624,-4221.804044,-4215.582651
530,power2,STROKE,AllAge,1.172223827,0.001634685,1.856767713,6.586408741,-4252.700861,-4246.479469
