sim,funct,cause,age,alpha,beta,delta,zcf,aic,bic
64,power2,LC,All Age,78.24289364,0.000148848,0.78452278,8.655884864,-10277.32417,-10269.01402
65,power2,LC,All Age,106.095957,0.000181365,0.743291787,6.37734177,-10177.75775,-10169.4476
66,power2,LC,All Age,64.01674328,0.000203806,0.78923302,7.781114662,-10291.74162,-10283.43147
67,power2,LC,All Age,183.4391731,6.05E-05,0.789634908,6.947744889,-10275.50765,-10267.1975
68,power2,LC,All Age,50.25239825,0.000233705,0.802969965,7.203024866,-10195.72888,-10187.41873
69,power2,LC,All Age,75.88792109,0.000324511,0.709496588,6.818567841,-10269.12755,-10260.8174
70,power2,LC,All Age,67.89622496,0.000248585,0.757802291,7.538972438,-10247.43261,-10239.12246
71,power2,LC,All Age,218.6702448,0.000251932,0.621058913,7.421018511,-10193.94522,-10185.63507
72,power2,LC,All Age,76.0088358,0.000192564,0.767029157,6.30944332,-10215.71944,-10207.40929
73,power2,LC,All Age,68.407471,0.00024106,0.761071538,6.386457117,-10197.70384,-10189.39369
74,power2,LC,All Age,267.0872593,9.56E-05,0.698465426,7.281442987,-10237.12177,-10228.81162
75,power2,LC,All Age,202.7266991,0.000120828,0.70386551,7.505032745,-10309.95768,-10301.64753
76,power2,LC,All Age,71.94217969,0.000525274,0.672531304,6.088952287,-10230.29193,-10221.98178
77,power2,LC,All Age,73.54379574,8.80E-05,0.860356169,7.142991221,-10260.01857,-10251.70842
78,power2,LC,All Age,381.847978,7.64E-05,0.68857266,6.618656839,-10285.30772,-10276.99757
79,power2,LC,All Age,36.57261474,3.98E-06,1.28576984,7.744329951,-10151.46293,-10143.15278
80,power2,LC,All Age,250.671184,0.00014732,0.663643107,6.422647431,-10239.26312,-10230.95297
81,power2,LC,All Age,144.5656541,7.89E-05,0.790084752,8.636299068,-10221.81221,-10213.50206
82,power2,LC,All Age,52.76914808,0.000170081,0.827711717,7.496544328,-10195.55968,-10187.24953
83,power2,LC,All Age,153.6662206,0.000130592,0.735252559,6.065892193,-10197.38411,-10189.07396
84,power2,LC,All Age,76.39438406,0.000254808,0.742408007,7.478689456,-10224.70186,-10216.39171
85,power2,LC,All Age,60.09367119,0.000217162,0.799202076,6.777220237,-10238.68423,-10230.37408
86,power2,LC,All Age,84.3806996,0.000150574,0.771795853,6.452117078,-10141.21539,-10132.90524
87,power2,LC,All Age,330.2915398,5.63E-05,0.729860117,8.518241659,-10266.84339,-10258.53324
