"","xaxis","exposureresultsdelta","backgroundresultsdelta","ecolilevelresultsdelta","ecolilevelresultsdelta.1","logreductionresultsdelta","drinkingwaterresultsdelta","airexchangeresultsdelta","volumeresultsdelta","heatvalueresultsdelta","emissionfactorresultsdelta","stovepowerresultsdelta","efficiencyresultsdelta","energyresultsdelta","ageresultsdelta","cryptokvalueresultsdelta","cryptoratiovalueresultsdelta","rotaalphavalueresultsdelta","rotaNfiftyvalueresultsdelta","rotaratiovalueresultsdelta","campalphavalueresultsdelta","campNfiftyvalueresultsdelta","campratiovalueresultsdelta"
"1",2,-0.0656957314406696,2.77250197950446,4.89010634394689,4.89010634394689,6.73737009196229,-1.52830828681375,-4.3872910685777,-6.0033825883341,1.44356881548482,-2.88271209487772,-3.60300191706144,3.3060748451052,2.04953074203643,-10.0056128569386,0.109485395476315,0.15129871715017,0.157187414130099,-2.36854921574845,0.00541896052032698,4.73386417238434,2.99406861708186,4.74375567599569
"2",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",4,-2.65247207026692,-3.9883497141291,-32.8381139004918,-32.8381139004918,-0.191753258549772,6.40868083301491,-3.21589638912839,-4.19955391828313,-3.12921305869096,1.70094508880972,1.24386749699246,-1.34425121850185,-5.67631749604546,10.0361109014776,-29.0718497964337,-28.9370314550803,0.0441417932090689,0.191338788244688,-5.75626908983908,4.26720475457175,4.59011835058061,4.80138927331271
