sim,funct,cause,age,alpha,beta,delta,zcf,aic,bic
461,power2,IHD,AllAge,1.153137393,0.039208976,0.650948304,7.476275814,-4708.324038,-4702.218596
462,power2,IHD,AllAge,1.600140269,0.055237381,0.331867433,6.644476868,-4733.777459,-4727.672017
463,power2,IHD,AllAge,1.584950642,0.077442486,0.299670306,6.189646864,-4755.310372,-4749.20493
464,power2,IHD,AllAge,1.280951542,0.040347976,0.665132063,6.891113647,-4755.412437,-4749.306995
465,power2,IHD,AllAge,1.524843442,0.044937091,0.374326892,7.956044111,-4764.516794,-4758.411351
466,power2,IHD,AllAge,1.27441463,0.05158269,0.590861064,6.237761598,-4751.167907,-4745.062465
467,power2,IHD,AllAge,1.140323575,0.054107454,0.624701889,7.938381641,-4723.918137,-4717.812695
468,power2,IHD,AllAge,1.24235547,0.025809313,0.996255985,7.282096378,-4739.942352,-4733.83691
469,power2,IHD,AllAge,1.132511959,0.05929579,0.511496895,5.880579793,-4735.522838,-4729.417396
470,power2,IHD,AllAge,1.476662259,0.066262782,0.352559379,7.854951101,-4756.857244,-4750.751802
471,power2,IHD,AllAge,1.392723516,0.061376567,0.35966062,7.907156988,-4793.378448,-4787.273006
472,power2,IHD,AllAge,1.650136548,0.084173008,0.301652722,6.461311094,-4736.810763,-4730.705321
473,power2,IHD,AllAge,2.628979972,0.034744712,0.311721196,8.569705467,-4709.977531,-4703.872089
474,power2,IHD,AllAge,1.219294461,0.056924119,0.533956145,7.594808503,-4751.262871,-4745.157429
475,power2,IHD,AllAge,1.251534673,0.064694293,0.530669594,6.262353606,-4734.732892,-4728.62745
476,power2,IHD,AllAge,1.48323202,0.051931075,0.345950698,8.20974011,-4789.699295,-4783.593853
477,power2,IHD,AllAge,1.176112605,0.057930387,0.5870872,7.349670006,-4805.32626,-4799.220818
478,power2,IHD,AllAge,1.370466903,0.047576671,0.403840635,8.168766885,-4761.02384,-4754.918397
479,power2,IHD,AllAge,1.170182578,0.010174025,1.308583246,6.976310909,-4742.959764,-4736.854322
480,power2,IHD,AllAge,1.182611911,0.022883659,0.840887457,7.991905351,-4736.869567,-4730.764125
481,power2,IHD,AllAge,1.549147614,0.039761028,0.397914076,8.167383303,-4806.710837,-4800.605395
482,power2,IHD,AllAge,1.577535957,0.076846541,0.3003596,6.514266539,-4738.050688,-4731.945246
483,power2,IHD,AllAge,2.476668173,0.045358446,0.279243274,8.106075223,-4704.247329,-4698.141887
484,power2,IHD,AllAge,1.40549458,0.041098357,0.414864058,6.751603009,-4773.917784,-4767.812342
485,power2,IHD,AllAge,1.205839634,0.027680044,0.839152095,5.908670016,-4718.698949,-4712.593507
486,power2,IHD,AllAge,1.349426132,0.068753083,0.372427847,8.640492858,-4757.678617,-4751.573175
487,power2,IHD,AllAge,1.192740928,0.035946514,0.647481045,8.361613842,-4752.951446,-4746.846004
488,power2,IHD,AllAge,1.252580053,0.043415514,0.529357875,8.267921777,-4751.407643,-4745.302201
489,power2,IHD,AllAge,1.543531059,0.038785593,0.393073788,7.765354408,-4748.606878,-4742.501436
490,power2,IHD,AllAge,2.429458822,0.0319491,0.322831664,7.015591059,-4736.021562,-4729.91612
491,power2,IHD,AllAge,4.455594472,0.028787906,0.25449044,7.226774136,-4765.747597,-4759.642155
492,power2,IHD,AllAge,1.595117774,0.042866523,0.364497505,8.707656907,-4757.531344,-4751.425902
493,power2,IHD,AllAge,2.263955099,0.043028008,0.301210736,7.422972759,-4772.857292,-4766.75185
494,power2,IHD,AllAge,1.261328621,0.105564468,0.362981794,6.00808185,-4724.778317,-4718.672875
495,power2,IHD,AllAge,1.614305408,0.053341947,0.34216228,7.948403179,-4767.882975,-4761.777533
496,power2,IHD,AllAge,1.298625777,0.067655761,0.389892776,8.73593963,-4731.554045,-4725.448603
497,power2,IHD,AllAge,1.718696587,0.034003994,0.379295411,7.271468794,-4735.925441,-4729.819999
498,power2,IHD,AllAge,1.326385903,0.068917794,0.533214668,6.681040149,-4738.282896,-4732.177454
499,power2,IHD,AllAge,1.608071033,0.074802541,0.309626953,6.234039887,-4712.98929,-4706.883848
500,power2,IHD,AllAge,1.637992231,0.056615303,0.345263353,8.436065223,-4803.360747,-4797.255305
501,power2,IHD,AllAge,1.329578633,0.085810959,0.34330076,5.818576391,-4731.817513,-4725.712071
502,power2,IHD,AllAge,1.612303206,0.06120291,0.352025764,6.616968681,-4706.462825,-4700.357383
503,power2,IHD,AllAge,1.27282225,0.092485097,0.356768974,6.001287458,-4741.883983,-4735.778541
504,power2,IHD,AllAge,1.23126081,0.031618954,0.832060587,7.702329293,-4710.632081,-4704.526639
505,power2,IHD,AllAge,4.767613098,0.03295803,0.227916193,6.102379047,-4724.360066,-4718.254624
506,power2,IHD,AllAge,1.433491899,0.068326772,0.371316214,6.072531663,-4798.498547,-4792.393105
507,power2,IHD,AllAge,1.965912897,0.044355878,0.318910484,8.579980466,-4770.282936,-4764.177494
508,power2,IHD,AllAge,1.196506273,0.023890409,0.97177757,7.444152511,-4759.905326,-4753.799884
509,power2,IHD,AllAge,1.965878542,0.065096096,0.287605951,6.493456967,-4739.8187,-4733.713258
510,power2,IHD,AllAge,1.257613941,0.049422036,0.603939685,7.088549748,-4730.019768,-4723.914326
511,power2,IHD,AllAge,1.732938501,0.060138183,0.298356326,7.72718984,-4719.219701,-4713.114259
512,power2,IHD,AllAge,1.620762441,0.049760573,0.34637636,7.015941828,-4699.678767,-4693.573324
513,power2,IHD,AllAge,1.200489907,0.078404803,0.397303048,6.411290201,-4763.921705,-4757.816263
514,power2,IHD,AllAge,1.854052663,0.039042652,0.335138986,8.006312844,-4735.724281,-4729.618838
515,power2,IHD,AllAge,1.298362932,0.072823664,0.425866002,7.450151416,-4714.953683,-4708.848241
516,power2,IHD,AllAge,2.015373586,0.046149839,0.308676796,8.705728257,-4792.234147,-4786.128705
517,power2,IHD,AllAge,1.550325068,0.050595729,0.376175656,8.045104369,-4748.240095,-4742.134653
518,power2,IHD,AllAge,1.287945801,0.078947081,0.397234565,8.770750609,-4715.722883,-4709.617441
519,power2,IHD,AllAge,1.208442265,0.034490438,0.51148119,8.359179902,-4742.75214,-4736.646698
520,power2,IHD,AllAge,1.317315999,0.010853828,1.212362601,8.262048791,-4799.740242,-4793.6348
521,power2,IHD,AllAge,1.436654933,0.068563101,0.359197896,7.673437082,-4774.987605,-4768.882163
522,power2,IHD,AllAge,1.380516177,0.08324419,0.355812569,6.555391368,-4743.997208,-4737.891766
523,power2,IHD,AllAge,2.007634404,0.033742473,0.352150413,7.34274086,-4761.789637,-4755.684195
524,power2,IHD,AllAge,1.408484407,0.041467034,0.413527061,8.769575794,-4757.184818,-4751.079376
525,power2,IHD,AllAge,1.2850539,0.018043692,0.929391325,7.273797147,-4756.635,-4750.529557
526,power2,IHD,AllAge,1.244373076,0.03790617,0.699740687,6.53554834,-4746.09595,-4739.990508
527,power2,IHD,AllAge,1.392818162,0.058783395,0.381544657,8.274317719,-4746.887753,-4740.782311
528,power2,IHD,AllAge,1.325225373,0.049761281,0.46492182,8.372156271,-4755.637059,-4749.531617
529,power2,IHD,AllAge,1.709718973,0.047823102,0.334300709,8.039414885,-4812.061795,-4805.956353
530,power2,IHD,AllAge,1.160447839,0.015715926,0.933403462,8.770315531,-4726.166795,-4720.061353
531,power2,IHD,AllAge,1.660204567,0.068191537,0.301281502,7.591451352,-4782.095055,-4775.989613
532,power2,IHD,AllAge,2.298635969,0.050838402,0.28750173,6.453839578,-4703.963187,-4697.857745
